 type|subtype|name|abbrev|notes|cost|humanity cost|surgery|number of options|source
 CHIPWARE|OPTION|Language (choose) +1||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Language (choose) +2||MRAM Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Language (choose) +3||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Mathematics +1||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Mathematics +2||MRAM Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Mathematics +3||MRAM Skill chip|500|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Physics +1||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Physics +2||MRAM Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Physics +3||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Programming +1||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Programming +2||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Programming +3||MRAM Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Stock Market +1||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Stock Market +2||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Stock Market +3||MRAM Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Wilderness Survival +1||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Wilderness Survival +2||MRAM Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Wilderness Survival +3||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Zoology +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Zoology +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Zoology +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Daytlmer Chip||MRAM Skill chip|100|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Archery +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Archery +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Archery +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Dance +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Dance +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Dance +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Driving +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Driving +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Driving +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Fencing +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Fencing +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Fencing +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Handgun +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Handgun +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Handgun +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Heavy Weapons +1||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Heavy Weapons +2||APTR Skill chip|800|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Heavy Weapons +3||APTR Skill chip|1200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Martial Art (choose) +1||APTR Skill chip|350|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Martial Art (choose) +2||APTR Skill chip|700|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Martial Art (choose) +3||APTR Skill chip|1050|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Melee +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Melee +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Melee +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Motorcycle +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Motorcycle +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Motorcycle +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Operate Hvy. Machinery +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Operate Hvy. Machinery +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Operate Hvy. Machinery +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Gyro) +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Gyro) +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Gyro) +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Fixed Wing) +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Fixed Wing) +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Fixed Wing) +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Dirigible) +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Dirigible) +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Dirigible) +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Vect.ThrustVehlcle) +1||APTR Skill chip|350|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Vect.ThrustVehlcle) +2||APTR Skill chip|700|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pilot (Vect.ThrustVehlcle) +3||APTR Skill chip|1050|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Rifle +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Rifle +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Rifle +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Submachlnegun +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Submachlnegun +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Submachlnegun +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Aero Tech +1||APTR Skill chip|250|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Aero Tech +2||APTR Skill chip|500|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Aero Tech +3||APTR Skill chip|750|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|AV Tech +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|AV Tech +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|AV Tech +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Basic Tech +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Basic Tech +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Basic Tech +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cryotank Operation +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cryotank Operation +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cryotank Operation +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyberdeck Design +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyberdeck Design +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyberdeck Design +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyber Tech +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyber Tech +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Cyber Tech +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Demolitions +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Demolitions +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Demolitions +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Disguise +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Disguise +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Disguise +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Electronics +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Electronics +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Electronics +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Elect. Security +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Elect. Security +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Elect. Security +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|First Aid +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|First Aid +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|First Aid +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Forgery +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Forgery +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Forgery +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Gyro Tech +1||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Gyro Tech +2||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Gyro Tech +3||APTR Skill chip|900|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pharmaceuticals +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pharmaceuticals +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pharmaceuticals +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick lock +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick lock +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick lock +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick Pocket +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick Pocket +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Pick Pocket +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Play Instrument +1||APTR Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Play Instrument +2||APTR Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Play Instrument +3||APTR Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Weaponsmlth +1||APTR Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Weaponsmlth +2||APTR Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Weaponsmlth +3||APTR Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
